player_id,match_code,time,date,type
37776,115903,6',Tue 22 Oct 2024,yellow
49759,115903,42',Tue 22 Oct 2024,yellow
76353,115903,90 +5',Tue 22 Oct 2024,yellow
51593,115903,60',Tue 22 Oct 2024,yellow
115172,115903,68',Tue 22 Oct 2024,yellow
126943,115906,39',Sun 20 Oct 2024,yellow
92635,115906,14',Sun 20 Oct 2024,yellow
16642,115906,20',Sun 20 Oct 2024,yellow
133679,115906,63',Sun 20 Oct 2024,yellow
19814,115906,90 +8',Sun 20 Oct 2024,yellow
13549,115900,6',Sun 20 Oct 2024,yellow
110526,115900,28',Sun 20 Oct 2024,yellow
119078,115900,78',Sun 20 Oct 2024,yellow
33231,115900,45 +8',Sun 20 Oct 2024,yellow
70287,115900,69',Sun 20 Oct 2024,yellow
23593,115900,80',Sun 20 Oct 2024,yellow
63633,115900,90 +2',Sun 20 Oct 2024,yellow
55776,115905,43',Sat 19 Oct 2024,yellow
25183,115905,56',Sat 19 Oct 2024,yellow
16268,115905,67',Sat 19 Oct 2024,yellow
51364,115905,67',Sat 19 Oct 2024,red
75582,115905,84',Sat 19 Oct 2024,yellow
20489,115898,33',Sat 19 Oct 2024,yellow
23968,115898,70',Sat 19 Oct 2024,yellow
5758,115898,83',Sat 19 Oct 2024,yellow
64519,115898,88',Sat 19 Oct 2024,yellow
64519,115898,90 +3',Sat 19 Oct 2024,yellow
64519,115898,90 +3',Sat 19 Oct 2024,red
23793,115898,57',Sat 19 Oct 2024,yellow
26151,115898,57',Sat 19 Oct 2024,red
14445,115898,65',Sat 19 Oct 2024,yellow
49884,115898,90 +8',Sat 19 Oct 2024,yellow
42331,115901,55',Sat 19 Oct 2024,yellow
20113,115901,73',Sat 19 Oct 2024,yellow
3156,115901,45 +6',Sat 19 Oct 2024,yellow
24252,115901,54',Sat 19 Oct 2024,yellow
134333,115902,45',Sat 19 Oct 2024,yellow
112739,115902,71',Sat 19 Oct 2024,yellow
8707,115902,10',Sat 19 Oct 2024,yellow
108922,115902,37',Sat 19 Oct 2024,yellow
8979,115904,52',Sat 19 Oct 2024,yellow
133430,115904,62',Sat 19 Oct 2024,yellow
7488,115904,70',Sat 19 Oct 2024,yellow
14252,115904,6',Sat 19 Oct 2024,yellow
119072,115904,10',Sat 19 Oct 2024,yellow
25447,115904,33',Sat 19 Oct 2024,yellow
112917,115904,36',Sat 19 Oct 2024,yellow
67238,115904,49',Sat 19 Oct 2024,yellow
8052,115904,49',Sat 19 Oct 2024,red
4333,115899,24',Sat 19 Oct 2024,yellow
19723,115899,90 +3',Sat 19 Oct 2024,yellow
66204,115897,90 +3',Sat 19 Oct 2024,red
14548,115897,68',Sat 19 Oct 2024,yellow
25474,115897,62',Sat 19 Oct 2024,yellow
4845,115888,3',Sun 6 Oct 2024,yellow
9566,115888,36',Sun 6 Oct 2024,yellow
108936,115888,41',Sun 6 Oct 2024,yellow
13565,115888,59',Sun 6 Oct 2024,yellow
5066,115888,87',Sun 6 Oct 2024,yellow
4115,115888,90 +4',Sun 6 Oct 2024,yellow
4617,115891,36',Sun 6 Oct 2024,yellow
4617,115891,78',Sun 6 Oct 2024,yellow
4617,115891,78',Sun 6 Oct 2024,red
23811,115891,89',Sun 6 Oct 2024,yellow
16723,115891,90 +5',Sun 6 Oct 2024,yellow
112203,115891,21',Sun 6 Oct 2024,yellow
49293,115891,75',Sun 6 Oct 2024,yellow
27277,115891,89',Sun 6 Oct 2024,yellow
51229,115891,89',Sun 6 Oct 2024,yellow
21998,115891,90 +8',Sun 6 Oct 2024,yellow
66284,115891,90 +12',Sun 6 Oct 2024,yellow
126824,115890,67',Sun 6 Oct 2024,yellow
49316,115890,69',Sun 6 Oct 2024,yellow
21912,115890,34',Sun 6 Oct 2024,yellow
75709,115890,80',Sun 6 Oct 2024,yellow
32894,115892,31',Sat 5 Oct 2024,yellow
63633,115892,43',Sat 5 Oct 2024,yellow
37776,115892,71',Sat 5 Oct 2024,yellow
8589,115892,73',Sat 5 Oct 2024,yellow
49796,115892,74',Sat 5 Oct 2024,yellow
14451,115892,76',Sat 5 Oct 2024,yellow
13815,115887,23',Sat 5 Oct 2024,yellow
19589,115887,34',Sat 5 Oct 2024,yellow
112917,115887,38',Sat 5 Oct 2024,yellow
4198,115889,42',Sat 5 Oct 2024,yellow
74608,115889,55',Sat 5 Oct 2024,yellow
16642,115889,70',Sat 5 Oct 2024,yellow
20113,115889,55',Sat 5 Oct 2024,yellow
23194,115889,87',Sat 5 Oct 2024,yellow
54989,115894,84',Sat 5 Oct 2024,yellow
5595,115894,40',Sat 5 Oct 2024,yellow
20479,115894,50',Sat 5 Oct 2024,yellow
13515,115894,64',Sat 5 Oct 2024,yellow
50247,115894,90 +2',Sat 5 Oct 2024,yellow
23793,115895,64',Sat 5 Oct 2024,yellow
12707,115895,90 +3',Sat 5 Oct 2024,yellow
5067,115895,90 +5',Sat 5 Oct 2024,yellow
32715,115896,31',Sat 5 Oct 2024,yellow
108922,115893,84',Sat 5 Oct 2024,yellow
5220,115893,90 +3',Sat 5 Oct 2024,yellow
24797,115893,44',Sat 5 Oct 2024,yellow
119072,115878,27',Tue 1 Oct 2024,yellow
67238,115878,52',Tue 1 Oct 2024,yellow
14383,115878,55',Tue 1 Oct 2024,yellow
112917,115878,55',Tue 1 Oct 2024,yellow
4618,115878,90 +3',Tue 1 Oct 2024,yellow
14846,115878,45 +1',Tue 1 Oct 2024,yellow
116665,115878,50',Tue 1 Oct 2024,yellow
5758,115882,46',Sun 29 Sep 2024,yellow
8388,115882,45 +2',Sun 29 Sep 2024,yellow
51813,115882,45 +3',Sun 29 Sep 2024,yellow
13559,115882,54',Sun 29 Sep 2024,yellow
49254,115882,74',Sun 29 Sep 2024,yellow
49374,115883,45 +1',Sun 29 Sep 2024,yellow
23764,115883,54',Sun 29 Sep 2024,yellow
32229,115883,73',Sun 29 Sep 2024,yellow
33245,115883,34',Sun 29 Sep 2024,yellow
24252,115883,39',Sun 29 Sep 2024,yellow
23396,115883,39',Sun 29 Sep 2024,red
14580,115883,45 +4',Sun 29 Sep 2024,yellow
67191,115883,55',Sun 29 Sep 2024,yellow
118031,115883,66',Sun 29 Sep 2024,yellow
12707,115884,56',Sat 28 Sep 2024,yellow
12520,115884,60',Sat 28 Sep 2024,yellow
4260,115884,62',Sat 28 Sep 2024,yellow
16431,115884,90',Sat 28 Sep 2024,yellow
5220,115884,26',Sat 28 Sep 2024,yellow
74761,115884,32',Sat 28 Sep 2024,yellow
71623,115884,62',Sat 28 Sep 2024,yellow
20607,115884,63',Sat 28 Sep 2024,yellow
8979,115877,20',Sat 28 Sep 2024,yellow
20479,115877,31',Sat 28 Sep 2024,yellow
21413,115877,50',Sat 28 Sep 2024,yellow
133430,115877,70',Sat 28 Sep 2024,yellow
66204,115877,46',Sat 28 Sep 2024,yellow
69914,115877,49',Sat 28 Sep 2024,yellow
16803,115879,14',Sat 28 Sep 2024,yellow
13522,115879,90 +3',Sat 28 Sep 2024,yellow
136505,115879,90 +8',Sat 28 Sep 2024,yellow
128891,115879,67',Sat 28 Sep 2024,yellow
24369,115879,87',Sat 28 Sep 2024,yellow
9576,115881,84',Sat 28 Sep 2024,yellow
4640,115881,90 +3',Sat 28 Sep 2024,yellow
4880,115885,54',Sat 28 Sep 2024,yellow
16044,115885,59',Sat 28 Sep 2024,yellow
4985,115885,84',Sat 28 Sep 2024,yellow
4818,115885,90',Sat 28 Sep 2024,yellow
14238,115885,31',Sat 28 Sep 2024,yellow
139648,115885,50',Sat 28 Sep 2024,yellow
14732,115886,6',Sat 28 Sep 2024,yellow
19758,115886,36',Sat 28 Sep 2024,yellow
23593,115886,63',Sat 28 Sep 2024,yellow
