match_code,date,home,away,match_score
115903,Tue 22 Oct 2024,Nott'm Forest,Crystal Palace,1-0
115906,Sun 20 Oct 2024,Wolves,Man City,1-2
115900,Sun 20 Oct 2024,Liverpool,Chelsea,2-1
115905,Sat 19 Oct 2024,Spurs,West Ham,4-1
115898,Sat 19 Oct 2024,Fulham,Aston Villa,1-3
115901,Sat 19 Oct 2024,Man Utd,Brentford,2-1
115902,Sat 19 Oct 2024,Newcastle,Brighton,0-1
115904,Sat 19 Oct 2024,Southampton,Leicester,2-3
115899,Sat 19 Oct 2024,Ipswich,Everton,0-2
115897,Sat 19 Oct 2024,Bournemouth,Arsenal,2-0
115888,Sun 6 Oct 2024,Aston Villa,Man Utd,0-0
115891,Sun 6 Oct 2024,Chelsea,Nott'm Forest,1-1
115890,Sun 6 Oct 2024,Brighton,Spurs,3-2
115892,Sat 5 Oct 2024,Crystal Palace,Liverpool,0-1
115887,Sat 5 Oct 2024,Arsenal,Southampton,3-1
115889,Sat 5 Oct 2024,Brentford,Wolves,5-3
115894,Sat 5 Oct 2024,Leicester,Bournemouth,1-0
115895,Sat 5 Oct 2024,Man City,Fulham,3-2
115896,Sat 5 Oct 2024,West Ham,Ipswich,4-1
115893,Sat 5 Oct 2024,Everton,Newcastle,0-0
115878,Tue 1 Oct 2024,Bournemouth,Southampton,3-1
115882,Sun 29 Sep 2024,Ipswich,Aston Villa,2-2
115883,Sun 29 Sep 2024,Man Utd,Spurs,0-3
115884,Sat 28 Sep 2024,Newcastle,Man City,1-1
115877,Sat 28 Sep 2024,Arsenal,Leicester,4-2
115879,Sat 28 Sep 2024,Brentford,West Ham,1-1
115880,Sat 28 Sep 2024,Chelsea,Brighton,4-2
115881,Sat 28 Sep 2024,Everton,Crystal Palace,2-1
115885,Sat 28 Sep 2024,Nott'm Forest,Fulham,0-1
115886,Sat 28 Sep 2024,Wolves,Liverpool,1-2
115868,Sun 22 Sep 2024,Brighton,Nott'm Forest,2-2
115873,Sun 22 Sep 2024,Man City,Arsenal,2-2
115876,Sat 21 Sep 2024,West Ham,Chelsea,0-3
115867,Sat 21 Sep 2024,Aston Villa,Wolves,3-1
115870,Sat 21 Sep 2024,Fulham,Newcastle,3-1
115871,Sat 21 Sep 2024,Leicester,Everton,1-1
115872,Sat 21 Sep 2024,Liverpool,Bournemouth,3-0
115874,Sat 21 Sep 2024,Southampton,Ipswich,1-1
115875,Sat 21 Sep 2024,Spurs,Brentford,3-1
115869,Sat 21 Sep 2024,Crystal Palace,Man Utd,0-0
115858,Sun 15 Sep 2024,Bournemouth,Chelsea,0-1
115865,Sun 15 Sep 2024,Spurs,Arsenal,0-1
115866,Sun 15 Sep 2024,Wolves,Newcastle,1-2
115864,Sat 14 Sep 2024,Southampton,Man Utd,0-3
115859,Sat 14 Sep 2024,Brighton,Ipswich,0-0
115860,Sat 14 Sep 2024,Crystal Palace,Leicester,2-2
115861,Sat 14 Sep 2024,Fulham,West Ham,1-1
115862,Sat 14 Sep 2024,Liverpool,Nott'm Forest,0-1
115863,Sat 14 Sep 2024,Man City,Brentford,2-1
115857,Sat 14 Sep 2024,Aston Villa,Everton,3-2
115849,Sun 1 Sep 2024,Chelsea,Crystal Palace,1-1
115854,Sun 1 Sep 2024,Newcastle,Spurs,2-1
115853,Sun 1 Sep 2024,Man Utd,Liverpool,0-3
115847,Sat 31 Aug 2024,Arsenal,Brighton,1-1
115848,Sat 31 Aug 2024,Brentford,Southampton,3-1
115850,Sat 31 Aug 2024,Everton,Bournemouth,2-3
115851,Sat 31 Aug 2024,Ipswich,Fulham,1-1
115852,Sat 31 Aug 2024,Leicester,Aston Villa,1-2
115855,Sat 31 Aug 2024,Nott'm Forest,Wolves,1-1
115856,Sat 31 Aug 2024,West Ham,Man City,1-3
115838,Sun 25 Aug 2024,Bournemouth,Newcastle,1-1
115846,Sun 25 Aug 2024,Wolves,Chelsea,2-6
115842,Sun 25 Aug 2024,Liverpool,Brentford,2-0
115839,Sat 24 Aug 2024,Brighton,Man Utd,2-1
115840,Sat 24 Aug 2024,Crystal Palace,West Ham,0-2
115841,Sat 24 Aug 2024,Fulham,Leicester,2-1
115843,Sat 24 Aug 2024,Man City,Ipswich,4-1
115844,Sat 24 Aug 2024,Southampton,Nott'm Forest,0-1
115845,Sat 24 Aug 2024,Spurs,Everton,4-0
115837,Sat 24 Aug 2024,Aston Villa,Arsenal,0-2
115836,Tue 20 Aug 2024,Leicester,Spurs,1-1
115834,Sun 18 Aug 2024,Brentford,Crystal Palace,2-1
115835,Sun 18 Aug 2024,Chelsea,Man City,0-2
115827,Sat 17 Aug 2024,Man Utd,Fulham,1-0
115830,Sat 17 Aug 2024,Ipswich,Liverpool,0-2
115828,Sat 17 Aug 2024,Arsenal,Wolves,2-0
115829,Sat 17 Aug 2024,Everton,Brighton,0-3
115831,Sat 17 Aug 2024,Newcastle,Southampton,1-0
115832,Sat 17 Aug 2024,Nott'm Forest,Bournemouth,1-1
115833,Sat 17 Aug 2024,West Ham,Aston Villa,1-2
